word,freq
생태계, 1
고생, 1
느낌, 4
꿀잼, 1
삼성, 1
라운드, 1
딸기, 1
더킹, 7
회복, 1
미드, 2
빵꾸, 1
굿굿, 1
탄력, 1
격인, 1
영업, 1
거치, 2
파이어, 1
한지, 1
